,errors
0,4460
1,20119
2,21141
3,22593
4,28785
5,33743
6,36438
7,41479
8,42534
9,43167
10,67548
11,67963
12,72599
13,80136
14,81038
15,83120
16,87930
17,101139
18,102465
19,104459
20,107873
21,108728
22,117148
23,120545
24,123674
25,124208
26,127060
27,127130
28,128114
29,129190
30,136633
31,152838
32,152844
33,160262
34,162264
35,162393
36,172027
37,174411
38,175422
39,191323
40,192778
41,196877
42,197474
43,198692
44,199656
45,202965
46,203113
47,203475
48,209748
49,212955
50,213765
51,214932
52,215442
53,225292
54,226640
55,227101
56,228318
57,233301
58,236633
59,239857
60,244766
61,248209
62,248289
63,248294
64,248311
65,252985
66,255535
67,263902
68,264270
69,264781
70,267135
71,271634
72,273697
73,277021
74,277246
75,284825
76,287748
77,288271
78,293166
79,296705
80,300001
81,302189
82,304870
83,305205
84,312736
85,314565
86,316226
87,316237
88,316323
89,319033
90,320944
91,325931
92,328808
93,333606
94,333704
95,338844
96,339877
97,340343
98,342474
99,342478
100,342630
101,344968
102,346212
103,346753
104,353536
105,355776
106,357539
107,357682
108,359245
109,366315
110,366320
111,367457
112,373818
113,374012
114,376386
115,376988
116,382940
117,384287
118,384288
119,386228
120,386370
121,392035
122,397875
123,398397
124,399839
125,400792
126,403208
127,406039
128,406200
129,409060
130,414759
131,416735
132,419986
133,429210
134,429251
135,430057
136,431026
137,431172
138,431280
139,434071
140,436731
141,439264
142,440249
143,443488
144,446885
145,449017
146,449495
147,453364
148,457090
149,459181
150,460141
151,460845
152,463099
153,464265
154,464516
155,467234
156,467560
157,468201
158,468952
159,471171
160,472060
161,476325
162,477477
163,482382
164,484801
165,486765
166,487739
167,491754
168,494340
169,494506
170,497836
171,499122
172,501666
173,502610
174,502611
175,503786
176,505555
177,507192
178,507816
179,509548
180,510136
181,512302
182,513593
183,514023
184,515348
185,517059
186,517918
187,518507
188,518832
189,519908
190,520746
191,522325
192,525091
193,525305
194,525414
195,526574
196,528697
197,530061
198,530388
199,538187
200,540414
201,540806
202,544207
203,546075
204,546679
205,548961
206,549386
207,550289
208,551534
209,555487
210,555931
211,558935
212,561344
213,563266
214,566077
215,566640
216,567006
217,568241
218,568676
219,569576
220,574916
221,576275
222,576597
223,578484
224,579718
225,581740
226,582697
227,583301
228,583394
229,583886
230,586305
231,586377
232,586378
233,588105
234,589444
235,592301
236,593888
237,593889
238,597669
239,599384
240,600543
241,603166
242,606117
243,606640
244,608110
245,610302
246,610863
247,611617
248,611791
249,613626
250,614562
251,615761
252,616086
253,616116
254,616887
255,618635
256,623380
257,632583
258,634621
259,634943
260,635735
261,636269
262,640739
263,641491
264,643035
265,647209
266,647210
267,647223
268,647224
269,647227
270,647235
271,647240
272,647242
273,647247
274,647248
275,647251
276,647294
277,650353
278,651458
279,652072
280,654328
281,654901
282,660727
283,662128
284,663435
285,665014
286,665183
287,670728
288,672875
289,674784
290,677273
291,679475
292,680540
293,681274
294,683097
295,683888
296,686954
297,687317
298,688873
299,691858
300,693354
301,693426
302,695260
303,695556
304,698761
305,699092
306,703021
307,708723
308,709341
309,709343
310,711382
311,711398
312,712804
313,716303
314,717001
315,718917
316,719120
317,721172
318,721795
319,722418
320,724973
321,725524
322,732731
323,733884
324,733970
325,737337
326,737926
327,738691
328,738836
329,739087
330,739368
331,740010
332,740443
333,741326
334,742475
335,750192
336,750193
337,750197
338,751502
339,752758
340,754694
341,757861
342,759087
343,761649
344,764898
345,767976
346,768581
347,768686
348,769715
349,770442
350,770981
351,771869
352,772102
353,772150
354,772740
355,775308
356,776109
357,780108
358,782317
359,782804
360,784377
361,786802
362,789074
363,789391
364,790847
365,792892
366,793884
367,798736
368,800209
369,803861
370,804950
371,805758
372,806334
373,806382
374,806956
375,807652
376,810437
377,810935
378,810991
379,814586
380,817526
381,824580
382,825173
383,826227
384,827006
385,831399
386,832521
387,832730
388,838651
389,839421
390,843180
391,843583
392,845176
393,845614
394,846042
395,846186
396,848667
397,848825
398,849747
399,852270
400,853187
401,855430
402,858214
403,860206
404,860352
405,861412
406,864107
407,864167
408,864168
409,864306
410,868596
411,868871
412,871092
413,873866
414,876480
415,881918
416,883741
417,884230
418,887784
419,891475
420,897422
421,898609
422,898797
423,899900
424,900048
425,901009
426,901061
427,901096
428,904743
429,905794
430,906527
431,906690
432,906855
433,908145
434,908292
435,908842
436,909332
437,910600
438,910601
439,912020
440,915673
441,915704
442,915834
443,916040
444,916101
445,919086
446,920146
447,922577
448,924822
449,925744
450,925934
451,926523
452,927577
453,930730
454,931265
455,932429
456,934901
457,935842
458,936891
459,937774
460,938633
461,939083
462,939424
463,939720
464,941584
465,944108
466,944224
467,944681
468,944732
469,944799
470,945100
471,946174
472,946496
473,952327
474,952740
475,954117
476,956683
477,958876
478,959197
479,959991
480,960151
481,960416
482,960434
483,962226
484,962312
485,962835
486,962956
487,964493
488,964507
489,967808
490,967894
491,967922
492,968230
493,968315
494,968846
495,969440
496,969994
497,970554
498,971178
499,971317
500,971333
501,971458
502,973239
503,973261
504,973311
505,974969
506,976171
507,976560
508,977430
509,980179
510,980651
511,981511
512,981878
513,983971
514,984702
515,985129
516,986552
517,987620
518,988358
519,989620
520,989733
521,991322
522,992074
523,992204
524,992334
525,992874
526,993385
527,995195
528,995793
529,996044
530,996925
531,997663
532,997939
533,1000965
534,1001192
535,1001533
536,1001917
537,1002423
538,1005901
539,1007082
540,1009509
541,1011775
542,1012501
543,1013730
544,1014499
545,1017674
546,1017982
547,1018149
548,1020776
549,1021431
550,1021711
551,1025550
552,1025734
553,1026094
